10.0.1.25, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.2.175, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.2.250, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.252, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.44, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.250, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.42, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.2.251, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.45, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.253, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.2.252, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.73, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.72, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.200, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.69, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.68, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.71, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.70, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.65, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.67, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.66, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.243, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.242, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.241, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.33, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.247, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.39, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.36, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.37, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.40, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.1.248, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.0.179, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
10.0.2.154, [IPv4Network(u'10.0.1.112/28'), IPv4Network(u'10.0.1.160/28'), IPv4Network(u'10.0.1.144/28'), IPv4Network(u'10.0.1.96/28'), IPv4Network(u'10.0.0.16/28'), IPv4Network(u'10.0.0.64/28'), IPv4Network(u'10.0.0.80/28'), IPv4Network(u'10.0.1.16/28'), IPv4Network(u'10.0.1.240/28'), IPv4Network(u'10.0.1.0/28'), IPv4Network(u'10.0.0.160/28'), IPv4Network(u'10.0.1.208/28'), IPv4Network(u'10.0.1.64/28'), IPv4Network(u'10.0.1.176/28'), IPv4Network(u'10.0.0.112/28'), IPv4Network(u'10.0.0.176/28'), IPv4Network(u'10.0.1.48/28'), IPv4Network(u'10.0.1.128/28'), IPv4Network(u'10.0.0.224/28'), IPv4Network(u'10.0.1.224/28')], 1
